model_name,time_costs,storage_costs,verification_success,total_blocks
cnn1,76.66468620300293,13.491050720214844,成功,37071
cnn2,155.92503547668457,26.93410873413086,成功,73979
cnn3,379.6823024749756,63.218605041503906,成功,173743
cnn4,793.5211658477783,126.24917221069336,成功,346843
cnn5,1628.2546520233154,252.35004425048828,成功,693043
lenet1,28.099536895751953,0.2895994186401367,成功,812
lenet5,31.098604202270508,5.590323448181152,成功,15428
alexnet,14449.512958526611,2116.7168436050415,成功,5818067
