deleted_model_count,time_costs,storage_costs
1,1.2056827545166016,97.43811416625977
2,2.3050308227539062,92.17214012145996
3,3.1566619873046875,84.27313804626465
4,4.459857940673828,73.7411060333252
5,5.599498748779297,1.006916046142578125
