model_id,tampered_params_count,total_time,storage_costs
cnn1,1,17.291784286499023,2.6422510147094727
cnn1,2,18.846511840820312,2.6422548294067383
cnn1,3,21.257877349853516,2.6422462463378906
cnn1,4,22.940874099731445,2.6423187255859375
cnn1,5,24.906635284423828,2.6423215866088867
cnn1,6,24.876117706298828,2.6424970626831055
cnn2,1,19.304275512695312,2.642324447631836
cnn2,2,20.798444747924805,2.6423282623291016
cnn2,3,21.368741989135742,2.6423168182373047
cnn2,4,22.835969924926758,2.6423206329345703
cnn2,5,27.602195739746094,2.642322540283203
cnn2,6,26.05128288269043,2.642498016357422
cnn3,1,19.020557403564453,2.642256736755371
cnn3,2,23.230552673339844,2.642258644104004
cnn3,3,20.285606384277344,2.642247200012207
cnn3,4,22.657155990600586,2.642319679260254
cnn3,5,25.99334716796875,2.642322540283203
cnn3,6,23.435592651367188,2.642498016357422
cnn4,1,19.35720443725586,2.6423282623291016
cnn4,2,19.5767879486084,2.6423301696777344
cnn4,3,21.236181259155273,2.6423168182373047
cnn4,4,25.66838264465332,2.6423206329345703
cnn4,5,24.163246154785156,2.642322540283203
cnn4,6,27.454137802124023,2.642498016357422
cnn5,1,16.809701919555664,2.6423282623291016
cnn5,2,16.42775535583496,2.6423301696777344
cnn5,3,19.36626434326172,2.6423168182373047
cnn5,4,20.873308181762695,2.6423206329345703
cnn5,5,22.81951904296875,2.642322540283203
cnn5,6,22.925138473510742,2.642498016357422
lenet1,1,16.862154006958008,2.6419334411621094
lenet1,2,18.299341201782227,2.6422119140625
lenet1,3,20.48516273498535,2.642207145690918
lenet1,4,24.629592895507812,2.642348289489746
lenet1,5,25.303125381469727,2.6423473358154297
lenet1,6,24.58500862121582,2.6425228118896484
lenet5,1,26.96084976196289,4.403338432312012
lenet5,2,28.433799743652344,4.403582572937012
lenet5,3,32.985687255859375,4.4035749435424805
lenet5,4,32.939910888671875,4.403647422790527
lenet5,5,34.20543670654297,4.403643608093262
lenet5,6,33.606767654418945,4.403647422790527
lenet5,7,36.73553466796875,4.4036455154418945
lenet5,8,42.09756851196289,4.40364933013916
lenet5,9,41.12839698791504,4.403651237487793
lenet5,10,41.33176803588867,4.403826713562012
alexnet,1,38.461923599243164,7.045835494995117
alexnet,2,40.01450538635254,7.045839309692383
alexnet,3,41.87607765197754,7.0458269119262695
alexnet,4,44.550418853759766,7.045830726623535
alexnet,5,46.503543853759766,7.045814514160156
alexnet,6,50.40597915649414,7.045816421508789
alexnet,7,52.60109901428223,7.045798301696777
alexnet,8,52.80780792236328,7.04580020904541
alexnet,9,52.64854431152344,7.045782089233398
alexnet,10,55.327653884887695,7.045783996582031
alexnet,11,60.47677993774414,7.045767784118652
alexnet,12,57.71613121032715,7.045764923095703
alexnet,13,63.27939033508301,7.045750617980957
alexnet,14,65.20223617553711,7.045750617980957
alexnet,15,67.90423393249512,7.045747756958008
alexnet,16,62.37530708312988,7.045923233032227
vgg16,1,84.70845222473145,14.095823287963867
vgg16,2,87.43882179260254,14.095827102661133
vgg16,3,89.49923515319824,14.095820426940918
vgg16,4,93.37878227233887,14.095824241638184
vgg16,5,95.49188613891602,14.09581470489502
vgg16,6,95.97992897033691,14.095818519592285
vgg16,7,100.86941719055176,14.095808029174805
vgg16,8,95.99971771240234,14.09581184387207
