schemes,model_name,time_costs,storage_costs
SecDV,cnn1,16.134977340698242,2.642253875732422
SecDV,cnn2,16.419172286987305,2.642327308654785
SecDV,cnn3,15.275716781616211,2.6422643661499023
SecDV,cnn4,15.24662971496582,2.642335891723633
SecDV,cnn5,14.034748077392578,2.642335891723633
SecDV,lenet1,15.328168869018555,2.641935348510742
SecDV,lenet5,26.997089385986328,4.4033403396606445
SecDV,alexnet,35.71295738220215,7.045841217041016
FMIV,cnn1,713.0289077758789,82.09732913970947
FMIV,cnn2,749.3479251861572,88.04377174377441
FMIV,cnn3,855.191707611084,99.75615406036377
FMIV,cnn4,871.281623840332,104.3151445388794
FMIV,cnn5,883.2855224609375,111.26399326324463
FMIV,lenet1,136.63768768310547,15.38715934753418
FMIV,lenet5,1249.8149871826172,140.9664716720581
FMIV,alexnet,5803.650140762329,704.8791780471802
VMHT,cnn1,76.66468620300293,13.491050720214844
VMHT,cnn2,155.92503547668457,26.93410873413086
VMHT,cnn3,379.6823024749756,63.218605041503906
VMHT,cnn4,793.5211658477783,126.24917221069336
VMHT,cnn5,1628.2546520233154,252.35004425048828
VMHT,lenet1,28.099536895751953,2.895994186401367
VMHT,lenet5,31.098604202270508,5.590323448181152
VMHT,alexnet,14449.512958526611,2116.7168436050415

