models_count,time_costs,storage_costs
1,11.129617691040039,86.9033784866333
2,21.814584732055664,86.90298080444336
3,38.27381134033203,86.90264415740967
4,53.498029708862305,86.90223789215088
5,60.81867218017578,86.90182781219482
