model_size,time_costs,storage_costs
2,0.025496959686279297,5.266695976257324
4,0.048354148864746094,10.533631324768066
6,0.07021474838256836,15.800226211547852
8,0.11098909378051758,27.21228313446045
10,0.38487911224365234,86.90370464324951
