model_count,time_costs,storage_costs
1,12.39466667175293,89.53712749481201
2,23.136138916015625,92.17062282562256
3,35.108089447021484,94.80405521392822
4,52.11448669433594,97.43755912780762
5,60.669898986816406,100.07106113433838
