model_name,time_costs,storage_costs
cnn1,16.134977340698242,2.642253875732422
cnn2,16.419172286987305,2.642327308654785
cnn3,15.275716781616211,2.6422643661499023
cnn4,15.24662971496582,2.642335891723633
cnn5,14.034748077392578,2.642335891723633
lenet1,15.328168869018555,2.641935348510742
lenet5,26.997089385986328,4.4033403396606445
alexnet,35.71295738220215,7.045841217041016
vgg16,81.50863647460938,14.095829010009766
resnet18,290.438175201416,45.846190452575684
